coding	meaning
315106001	Coxiella burnetii 1 antib lev
315145006	Legionella RMAT
135853007	Anti-tissue transglutnase lev
134451006	Varicella zoster antibody lev
134453009	Trypanosom (African) antib lev
422303009	Rabies immunoglobulin human
104306008	Toxoplasma IgM antibody level
398405003	Meningococcal nucl acid detect
398585004	Parvovirus B19 nucl acid detec
391085004	APTT ratio
391365005	EBV - VCA IgM level
388705001	Mutton (lamb) RAST test
391570004	M2 mitochondrial ab (EIA) lev
388544006	Crab RAST test
392445000	Rat epithelium RAST test
397585002	Chicken feathers RAST test
391586006	Serum glom base mem ab lev
74261006	Intrinsic factr antibody level
313366007	Alk phosph - bile isoenz level
391472005	Bld (WBC) scr GM1 gangliosidos
390975007	Urine HVA/creatinine ratio
391373001	24hr urine delta ALA output
391371004	Bone marrow trephine exam
117725006	Presence of bacteria
395209005	Act prot C rati (V Leiden def)
388797003	Corn RAST test
395141005	Cell tissue autoab screen test
395192002	Campylobact jejuni IgM ab lev
395041007	Ser neural tube defct scr test
395164007	Carbamazepine 10,11 epoxid lev
395158000	Prothrombin gene (20210) scrn
113083009	Prolactin level
271076007	Urine microalb/creatnine ratio
6126006	High mol wt kininogen level
18360001	Cold antibody level
54555005	Anti HBc IgG level
16948004	IgG subclass 4 level
104309001	CMV IgM antibody level
314092004	Mitochondri antbdy screen test
313962004	Plas 5-alpha-dihydrotestos lev
166588003	Plasma beta-2 microglob level
167027009	Mixed venous part press oxygen
313662002	Urine MDA level
90690006	Urine arsenic level
52553004	24 hour faecal fat output
271012001	Fluid sample total protn level
315192005	Streptococc anti DNAse B titre
388714006	Avocado RAST test
390962007	Plasma alk phosphatase level
391430009	Blood zinc protoporphyrin lev
391474006	Bld (WBC) scr Tay Sachs
394884003	Pl fac VIII inhib hum/porc scr
63476009	Prostate-specific ag level
104306008	Toxoplasma IgM antibody level
313787000	Serum IGF 1 level
116708001	Polymorph count
121580005	Gabapentin level
423074002	Fexofenadine 30mg/5ml oral suspension (product)
423074002	Fexofenadine 30mg/5ml oral suspension
777900002	Uridine
777138004	Perflutren
775967003	Omega 3 fatty acid (fish derived)
323673005	Piperacillin 2g / Tazobactam 250mg powder for solution for infusion vials
323673005	Piperacillin 2g / Tazobactam 250mg powder for solution for infusion vials
323673005	Piperacillin 2g / Tazobactam 250mg powder for solution for infusion vials (product)
323673005	Piperacillin 2g / Tazobactam 250mg powder for solution for infusion vials (product)
408755005	Chorioinc gonadotrophin
699471008	Tiger snake venom antiserum (substance)
111160004	Sodium iodide [I-131]
394958008	Plasma ciclosporin level
166976008	Serum ciclosporin level
252217003	Short tetracosactide test
269866007	Serum phenobarbital level
269890008	Urine amfetamine level
122224000	Acetyl choline receptor antibody level
104285006	Helicobacter pylori antibody level
313656007	Blood ciclosporin level
6126006	High molecular weight kininogen level
367354002	Leucocyte alkaline phosphatase level
391311005	von Willebrand factor activity
391457006	Urine dantron level
42525009	Activated partial thromboplastin time
314104009	Urine amfetamine screening test
37254006	Mean cell haemoglobin concentration
15356000	Plasma ristocetin cofactor level
51106007	Neutrophil alkaline phosphatase level
7786006	Venereal diseases research laboratory test
82703001	Antistreptolysin O antibody titre
117891003	Basement membrane antibody level
122157009	Anti-liver-kidney microsomal antibody level
31709000	Anti-neutrophil cytoplasmic antibody level
312457003	Irregular blood group antibody present
118002003	Thyroid peroxidase antibody level
104583003	High density lipoprotein/total cholesterol ratio
407677001	Plasma pancreatic polypeptide
407680000	Haddock RAST test
407681001	Aspirin RAST test
407694004	Skin desmosome antibody level
407701009	Resin/isocyanates RAST test
408205003	Calculus xanthine content
394959000	Ciclosporin index
25579001	Arterial partial pressure of oxygen
104109009	Cerebrospinal fluid cell content
104909005	Red blood cell protoporphyrin level
104909005	Red blood cell protoporphyrin level
19518008	24 hour urine protein excretion test
9232009	Fluorescent treponemal antibody test
113039000	Red blood cell osmotic fragility
66842004	Red blood cell distribution width
367352003	Sample: organism sensitivity
313579004	Urine metamfetamine level
313662002	Urine methylenedioxyamfetamine level
6614002	ssDNA binding autoantibody level
32660008	Pm-1 - Polymyositis-scleroderma antibody level
104355004	Haemolytic complement (CH50) level
367350006	CMV IgM antibody level
122339001	Haemophilus influenzae B antibody level
87978006	dsDNA binding autoantibody level
774469001	Alglucosidase alfa
313980008	Urine methylenedioxymethamfetamine level
391439005	Blood (WBC) screen for a-fucosidosis
391461000	Urine methylamfetamine level
391483001	Acid fast bacilli microscopy
71100000	Factor VIII related antigen level
65946008	Anti-cardiolipin antibody level
313457007	Urine 3,4-methylenedioxyethamfetamine level
407678006	Wood dust RAST test
407687002	Poultry feather RAST test
408199005	U-snRNP Antibody level
408216005	Calculus calcium (non-oxalate)
407688007	Caged bird feather RAST test
63476009	Prostate-specific antigen level
8879006	24 hour urine creatinine output
41668001	Serum 17-alphahydroxyprogesterone level
104361001	Total C1 inhibitor level
767409007	Black widow spider venom antiserum
240166008	Clinical 2004-07-01
164773008	Sleep studies - procedure
105386004	Respite care - procedure
240917005	Interventional radiology - procedure
255670005	Phenobarbital - chemical
106190000	Allergy - mechanism
260388006	ISQ - Id status quo
90935002	Haemophilia - disorder
52052004	Rehabilitation - procedure
21708004	Osteosarcoma - morphology
304705008	ABS - adaptive behaviour scale
308828009	Truncus arteriosus - body structure
310495003	[X]Mild depression
394922001	Unsteady gait              [D]
408442008	Haemophilia - specialty
1.43421E+14	Body fluid clinical chemistry observable
1.43421E+14	Body fluid clinical chemistry observable(observable entity)
1.43431E+14	Clinical chemistry electrolyte observable
1.43431E+14	Clinical chemistry electrolyte observable (observable entity)
1.43441E+14	Clinical chemistry observable
1.43441E+14	Clinical chemistry observable (observable entity)
365618006	Haematocrit - PCV
233961000	Ischaemia of legs
281010000	Paediatric surveillance
570001	Arthropod encephalit vaccinatn
81680005	Cervicalgia - pain in neck
1.43481E+14	Fluid chemistry observable (observable entity)
269835001	Hepatitis B immunity test
1.43481E+14	Fluid chemistry observable
269835001	Hep B surface antigen test
165696006	Red cell volume - isotopic
171849009	Transposition of ulnar nerve
237376002	Needle guided breast biopsy
231570003	Mustarde canthoplasty
1.43511E+14	Serum clinical chemistry
23491005	Revision of nephrostomy tube
1.43511E+14	Serum clinical chemistry (observable entity)
78072001	Closure of urethral fistula
391989008	Eversion of hydrocele
176691008	McIndoe construction of vagina
236947000	Shirodkar suture in pregnancy
241000008	Zadik excision of nail bed
1.43541E+14	Urinalysis observable
238327005	Chest wall operations
1.43541E+14	Urinalysis observable (observable entity)
13821009	Steindler procedure
1.43551E+14	Urine chemistry clinical observable
181236000	[SO]Salivary gland
1.43551E+14	Urine chemistry clinical observable (observable entity)
70070008	Torticollis - symptom
1.43561E+14	Blood clinical chemistry observable
40603000	Recurrent boils
1.43561E+14	Blood clinical chemistry observable (observable entity)
47639008	Pilonidal sinus/cyst
1.43571E+14	Plasma clinical chemistry (observable entity)
271766002	Sinus
1.43571E+14	Plasma clinical chemistry
95340003	[X]Nail bed infection
93419003	Nickel sensitivity
386211005	Disorders of stomach function
48763007	Parasternal hernia
95446005	Mesenteric thrombosis
46177005	End stage renal failure
399221001	BPV - Vaginal bleeding
90446007	Perianal irritation
399112009	Sero negative polyarthritis
387637008	Swelling of joint - effusion
281792000	Swollen lower leg
50429003	Stenosis of aqueduct of Sylvius
204711007	Atresia large intestine
89166001	Liver anomalies
32003007	Face bone anomalies
270519009	Localised skull defects
93030006	Asplenia
82351006	Neonatal craniotabes
262597001	Splinters
37645002	Burn of the face, head or neck
269257004	Renal failure after crushing
85180002	Mercury causing toxic effect
42883007	Mountain sickness, unspecified
275273001	[X]Graft infection
275274007	[X]Prosthetic infection
213262007	Haematoma - postoperative
400008009	Borderline leprosy (type B)
14168008	Lyssa - rabies
254701007	Basal cell carcinoma
118286007	[M]Squamous cell neoplasms
76345009	[M]Islet cell adenoma
76345009	[M]Nesidioblastoma
128918008	[M]Juxtacortical osteosarcoma
386080007	Vitamin B6 deficiency syndrome
54569005	Bernard - Soulier thrombopathy
86765009	Moron
386805003	[X]Mild cognitive disorder
48500005	[X]Delusional disorder
48500005	[X]Paranoid psychosis
38295006	[X]Paraphrenia - late
48500005	[X]Paranoia
275472008	[X]Psychogenic dysphonia
397923000	[X]Somatization disorder
397826007	[X]Briquet's syndrome
397795007	[X]Briquet's disorder
191977008	[X]Psychogenic dysmenorrhoea
191966002	[X]Psychogenic pruritis
271420006	[SO]Lateral condyle of humerus
308050009	Administrators - top
265912005	Top managers - business
265914006	Adjudicators
265911003	Top managers
158775005	Commission - inq.- member
68785005	Underwriter - insurance
265919001	Personel/industrial relations
265920007	Organisation/work study spec.
25482009	Curator museum/gallery
265930003	Education/welfare/health prof.
106304008	Teachers
158896005	Teacher training teachers
34718002	Blind teacher
72335005	Deaf teacher
106309003	Teacher - special ed.
75271001	Midwife
106292003	Nurses
308002005	Remedial therapists
159035003	Dental auxilliary
106290006	Vetinarians
106290006	Vets
106312000	Authors/writers/journalists
308003000	Editors - literary
29536009	Journalists
308004006	Writers
159062006	Artists
308009001	Directors - entertainment
308010006	Producers - entertainment
308011005	Stage managers
12919008	Actors
308014002	Musical performers
265945005	Performers - entertainment
308017009	Photographers
265948007	Sound/vision/equipment operat.
84672002	Sound equipment operator
87448007	Coach - sports
21407008	Professional sportsmen
22368001	Sports officials
265950004	Prof. scientists/engin/technol
106269003	Engineers - professional
308027003	Scientists
159236005	Technologists - professional
265951000	Biolog scientists/biochemists
72327007	Biological scientists
106262007	Civil engineers
308036004	Municipal engineers
308034001	Structural engineers
265953002	Mining/quarrying/drilling eng.
106267001	Mining engineers
159184009	Quarrying engineers
265959003	Flight deck officers
308040008	Pilots - aircraft
10975003	Air traffic controllers
106261000	Town planners/architects
308047006	Architects
265963005	General eng. tech. assistant
106278009	Engineering technicians
308048001	Technical engineers
265965003	Works/production managers
265966002	Construction managers
265967006	Managers - underground mining
265968001	Manager -gas production/supply
265969009	Transport managers
265970005	Managers - warehousing/stock
265971009	Retail store/shop managers
308189001	Retail shop manager
265972002	Catering/hotel/pub managers
265973007	Entertainment/sports managers
265975000	Farming/fishing managers
265977008	Costing/accounting clerks
308201008	Accounting clerks
159496006	Costing clerks
11629001	Bank cashier
265978003	Finance/investment/ins. clerk
47555006	Insurance clerks
308203006	Investment clerks
265979006	Radio/telegraph operators
89054005	Telegraph operator
308206003	Shelf fillers
308200009	Protective services
308199006	Security services
49063006	Private detective
308207007	Chefs
106373003	Cooks
159713000	Porter - kitchen
12514009	Barber
265995006	Foremen-farming/horticulture
34024003	Gardeners
59344008	Groundsmen
308231002	Fishing supervisors
266004007	Chemical/gas/petrol processors
266006009	Food and drink processors
266007000	Paper and board processors
266011006	Clay/stone workers
266014003	Printing/photographic process
308254006	Print processors
159956003	Bookbinders
266016001	Textile material workers
308272000	Clothes makers
91459007	Pattern maker - clothes
266018000	Leather workers
84943000	Shoe maker
266020002	Surgical shoe maker
266022005	Woodworkers
24413000	Carpenter
59768002	Carpenter/joiner - ship
266024006	Metal/electrical workers
308287005	Electrical workers
308288000	Metal workers
106407000	Metal processors/treaters
308314006	Steel makers
67206005	Blacksmith
1004008	Annealer - metal
69796006	Temperer - metal
308325002	Machine tool setters
308326001	Press tool setters
23460004	Press/stamping machine operat.
308326001	Tool setters
106474008	Aero-engine mechanic
32136005	Watch/clock repairers
266035001	Electrical install/maintain
106476005	Installers - electrical
4890006	Maintainers - electrical
266037009	Linesman - electric
266038004	Pipe/sheet/struct metal worker
308294008	Steel workers
87393003	Ship's plater
106510009	Painters
266048002	Product assemblers
308350004	Repetitive assemblers
308353002	Inspectors - product
106524008	Construction workers
308372002	Coal miners
67630004	Miners
17075003	Quarryers
308373007	Tunnellers
271296008	Deck/engineroom hands
32156006	Railway engine driver
86937004	Bus driver
25591005	Fork-lift truck driver
308404003	Electricity power plant op.
266890009	FH: Alcoholism
275122004	FH: Myocardial infarction < 60
275941002	FH: MI- Myocardial infarct <60
275932007	FH: Angina < 60yrs
266896003	FH: Ischaemic heart dis. >60
275123009	FH: Myocardial infarction > 60
275901006	FH: MI- myocardial infarct >60
275911004	FH: Angina > 60yrs
73760000	Housewife
125681006	Single - unmarried
105542008	Current non drinker
266929003	Smoking started
308438006	Smoking restarted
266931007	Milk free diet - allergy
